Participant_ID,Days_Used,Most_Used_Feature,Easy_to_Use,Meaningful_Insights,Story_Engagement,Motivated_Explore,Overall_Enjoyment,Continue_Using,Recommend,Improvement_Suggestion
P01,4-7,Dream Logging,5,5,5,5,4,Yes,Maybe,The avatar customization is cute.
P02,11-14,Dream DNA,5,4,4,5,5,Yes,Yes,Beautiful interface and calming colors.
P03,4-7,Mindmap Tool,4,3,4,4,5,Maybe,Maybe,The avatar customization is cute.
P04,4-7,Community Feed,5,4,3,5,4,Maybe,Maybe,Great for self-reflection.
P05,8-10,Mindmap Tool,5,4,5,3,3,Yes,Yes,I like the totem collection aspect.
P06,11-14,Story Mode,4,4,4,4,4,Yes,Yes,The riddles are challenging but fun.
P07,8-10,Dream DNA,4,4,5,4,5,Yes,Yes,The story mode is very engaging.
P08,11-14,Riddle Solving,4,4,4,4,5,Yes,Yes,Loved the visual DNA representation.
P09,4-7,Dream DNA,3,3,5,5,3,Yes,Yes,Would like more avatar clothing options.
P10,11-14,Dream Library,4,4,4,5,4,Yes,Yes,I like the totem collection aspect.
P11,4-7,Mindmap Tool,4,3,5,3,4,Yes,Maybe,I look forward to logging my dreams now.
P12,8-10,Dream Library,3,4,5,4,3,Yes,Yes,I look forward to logging my dreams now.
P13,11-14,Story Mode,4,4,4,5,5,Yes,Yes,The riddles are challenging but fun.
P14,11-14,Riddle Solving,5,5,4,4,4,Yes,Yes,Really unique concept.
P15,8-10,Dream DNA,3,5,4,4,3,Yes,Yes,More free story chapters please.
P16,11-14,Dream Library,5,4,4,5,5,Yes,Yes,Helped me track my sleep patterns better.
P17,1-3,Dream Art Generation,4,3,2,2,4,Maybe,No,No specific feedback.
P18,8-10,Community Feed,3,5,5,3,3,Maybe,Yes,The story mode is very engaging.
P19,11-14,Dream DNA,4,5,5,4,4,Yes,Yes,Helped me track my sleep patterns better.
P20,4-7,Mindmap Tool,3,3,4,5,4,Maybe,Yes,Loved the visual DNA representation.
P21,1-3,Guided Audio,3,3,2,3,4,No,No,Interesting concept.
P22,11-14,Riddle Solving,5,5,4,4,5,Yes,Yes,Helped me track my sleep patterns better.
P23,11-14,Dream DNA,4,4,4,5,4,Yes,Yes,The story mode is very engaging.
P24,8-10,Mindmap Tool,3,3,5,5,5,Yes,Yes,Great for self-reflection.
P25,4-7,Community Feed,3,3,5,5,5,Maybe,Yes,Would like more avatar clothing options.
P26,1-3,Dream Art Generation,4,2,3,2,4,Maybe,Maybe,Notifications can be a bit much.
P27,11-14,Riddle Solving,5,5,4,5,5,Yes,Yes,Really unique concept.
P28,1-3,Dream Art Generation,4,3,2,3,4,No,Maybe,Sometimes the app crashes on startup.
P29,4-7,Dream Library,4,5,3,5,3,Yes,Yes,Helped me track my sleep patterns better.
P30,1-3,Guided Audio,3,2,2,3,3,No,Maybe,Analysis takes a few seconds too long.
P31,11-14,Riddle Solving,4,5,4,4,4,Yes,Yes,Loved the visual DNA representation.
P32,11-14,Dream Library,4,4,4,5,5,Yes,Yes,Beautiful interface and calming colors.
P33,11-14,Totem Collection,5,4,5,4,4,Yes,Yes,I like the totem collection aspect.
P34,4-7,Dream DNA,5,5,4,4,4,Yes,Maybe,Analysis takes a few seconds too long.
P35,1-3,Guided Audio,4,2,3,3,4,No,No,It was fun to try out.
P36,1-3,Avatar Customization,4,2,2,2,4,No,Maybe,It was fun to try out.
P37,4-7,Community Feed,4,4,3,3,3,Yes,Maybe,I like the totem collection aspect.
P38,11-14,Riddle Solving,5,4,4,4,5,Yes,Yes,Really unique concept.
P39,11-14,Riddle Solving,5,4,4,5,4,Yes,Yes,The riddles are challenging but fun.
P40,1-3,Avatar Customization,3,3,2,2,4,Maybe,No,Hard to find the community tab.
P41,8-10,Dream Art Generation,4,5,3,3,5,Maybe,Yes,Sync with Apple Health would be nice.
P42,11-14,Dream DNA,5,5,4,4,5,Yes,Yes,I like the totem collection aspect.
P43,1-3,Guided Audio,3,3,3,2,3,Maybe,Maybe,It was fun to try out.
P44,11-14,Dream DNA,4,4,5,4,4,Yes,Yes,Beautiful interface and calming colors.
P45,11-14,Story Mode,5,4,4,5,4,Yes,Yes,Beautiful interface and calming colors.
P46,1-3,Dream Art Generation,3,2,3,2,3,No,Maybe,Nothing to add.
P47,4-7,Dream DNA,5,3,4,3,4,Yes,Yes,Analysis takes a few seconds too long.
P48,4-7,Dream Logging,3,4,3,5,4,Yes,Yes,Great for self-reflection.
P49,4-7,Dream Art Generation,3,3,4,5,3,Yes,Maybe,Helped me track my sleep patterns better.
P50,11-14,Mindmap Tool,5,4,5,5,5,Yes,Yes,Great for self-reflection.
P51,8-10,Mindmap Tool,4,4,5,4,3,Yes,Maybe,Loved the visual DNA representation.
P52,1-3,Guided Audio,4,2,3,3,3,No,No,"It's okay, but I prefer simple journaling."
P53,11-14,Riddle Solving,5,4,4,5,4,Yes,Yes,Beautiful interface and calming colors.
P54,11-14,Story Mode,4,4,4,5,5,Yes,Yes,Helped me track my sleep patterns better.
P55,11-14,Dream Art Generation,5,5,4,4,4,Yes,Yes,Beautiful interface and calming colors.
P56,11-14,Dream Art Generation,4,5,5,5,4,Yes,Yes,Loved the visual DNA representation.
P57,11-14,Story Mode,4,4,5,5,4,Yes,Yes,Great for self-reflection.
P58,11-14,Mindmap Tool,5,4,5,4,5,Yes,Yes,Beautiful interface and calming colors.
P59,8-10,Mindmap Tool,3,3,3,4,3,Yes,Yes,Great for self-reflection.
P60,1-3,Dream Art Generation,3,3,2,2,3,No,No,It was fun to try out.
P61,4-7,Dream Library,5,4,5,5,3,Yes,Yes,Would like more avatar clothing options.
P62,11-14,Story Mode,4,5,5,4,4,Yes,Yes,Helped me track my sleep patterns better.
P63,8-10,Dream DNA,3,4,3,4,4,Maybe,Yes,Make the font size adjustable.
P64,4-7,Dream DNA,3,3,4,4,3,Yes,Yes,Sync with Apple Health would be nice.
P65,1-3,Guided Audio,3,3,3,3,3,No,Maybe,Nothing to add.
P66,11-14,Story Mode,4,4,5,5,5,Yes,Yes,Loved the visual DNA representation.
P67,4-7,Dream DNA,4,5,3,4,4,Maybe,Yes,Analysis takes a few seconds too long.
P68,11-14,Riddle Solving,5,5,5,5,4,Yes,Yes,Loved the visual DNA representation.
P69,8-10,Dream Library,5,5,4,4,5,Maybe,Yes,Make the font size adjustable.
P70,1-3,Dream Art Generation,4,3,3,3,3,No,Maybe,Analysis takes a few seconds too long.
P71,11-14,Story Mode,4,4,5,5,5,Yes,Yes,Great for self-reflection.
P72,11-14,Riddle Solving,5,5,4,4,5,Yes,Yes,Great for self-reflection.
P73,4-7,Dream Library,3,3,4,5,5,Yes,Yes,The riddles are challenging but fun.
P74,4-7,Guided Audio,3,3,5,3,5,Yes,Maybe,Helped me track my sleep patterns better.
P75,1-3,Guided Audio,4,2,3,2,3,No,No,Make the font size adjustable.
P76,1-3,Guided Audio,4,3,3,2,3,Maybe,No,"It's okay, but I prefer simple journaling."
P77,1-3,Dream Art Generation,3,2,2,2,3,No,Maybe,Nothing to add.
P78,4-7,Guided Audio,4,3,5,5,4,Maybe,Yes,Notifications can be a bit much.
P79,4-7,Community Feed,4,5,4,4,5,Maybe,Maybe,Analysis takes a few seconds too long.
P80,8-10,Dream DNA,4,3,4,3,5,Yes,Yes,I look forward to logging my dreams now.
P81,4-7,Mindmap Tool,3,4,4,3,3,Yes,Maybe,The riddles are challenging but fun.
P82,11-14,Story Mode,5,4,4,4,4,Yes,Yes,Great for self-reflection.
P83,1-3,Guided Audio,3,3,3,2,4,No,No,Make the font size adjustable.
P84,11-14,Riddle Solving,4,4,5,4,4,Yes,Yes,Helped me track my sleep patterns better.
P85,8-10,Dream Library,3,5,3,3,4,Maybe,Yes,Sync with Apple Health would be nice.
P86,11-14,Dream Art Generation,5,5,4,4,5,Yes,Yes,The story mode is very engaging.
